Observed Value1,Predicted Value1
0.03553905,0.2815384
1.9639972,1.832773
2.1693404,2.2871046
1.9639972,1.8327736
2.9781265,3.3876405
2.4982378,1.6739717
2.3045013,2.3897583
0.24009198,0.6319695
2.246855,2.7148783
2.4025455,2.7037003
1.9467022,1.0873275
1.7435193,1.5487819
1.2083532,1.8713698
2.1693404,2.16386
1.8818519,1.7156202
2.1693404,1.7387806
3.1343763,2.1638598
1.7820251,1.5240109
2.9339461,1.9331356
2.5193172,2.9918907
1.661553,2.5740664
1.7820251,1.5240114
2.1693404,2.277447
1.8818519,2.2069218
3.1343763,2.6020825
1.2083532,1.6870986
2.1816068,2.55627
2.4025455,1.9953874
3.1343763,3.238035
3.4380455,3.1990921
3.4380455,3.4934864
0.2326994,0.8102356
2.5637996,3.168879
1.0998727,1.0098441
1.768937,1.4671297
1.1522506,1.2960033
1.9639972,2.1032665
3.1343763,2.9894657
1.4462107,1.4565972
2.8542802,3.1510444
3.4380455,3.2272055
3.025821,2.7348099
0.07827623,1.4636266
1.0271262,1.2949421
2.1693404,2.1538618
2.1693404,2.1239579
3.1343763,3.066003
1.6839576,1.9975333
1.5787388,1.779444
2.4390457,2.6795104
2.5637996,2.6293864
1.4707707,0.856476
2.8542802,2.6552203
1.4462107,1.7896883
1.4070855,1.2690529
2.1693404,2.0154738
1.0271262,1.3435769
2.3045013,2.0154746
3.678731,3.6021614
1.9817752,1.845719
2.5193172,2.3280776
2.8542802,2.377482
2.4390457,1.6670812
0.03553905,0.2065908
1.487636,1.7099752
0.96014637,1.3537221
1.7435193,1.9312342
2.8542802,2.644855
1.9298637,2.3687992
2.5637996,2.5323462
2.246855,2.6510947
1.5595258,1.6529316
2.5637996,2.559858
1.9639972,2.0480204
1.3176981,1.4728537
0.6040658,0.19383761
1.0271262,1.4903228
1.4070855,1.7036093
3.025821,2.671241
2.720953,2.9716277
0.12840298,1.1029987
1.9298637,2.511983
3.025821,2.8963475
0.24009198,0.5003428
0.6040658,0.5003425
1.8818519,2.1242406
2.1693404,2.208022
1.2083532,1.6148031
2.1693404,2.2080216
2.4778628,3.0702846
3.1343763,2.6418228
0.2033013,0.9220749
0.37699676,0.22866377
2.3045013,2.1198757
1.9639972,1.930045
3.1343763,3.332727
2.9339461,2.2865913
2.9339461,2.514739
0.44090474,0.71896327
2.720953,2.5904431
2.4025455,2.6752422
0.67607296,0.836176
0.23762578,0.7394184
